commodity_name,state,district,market,min_price,max_price,modal_price,date
Groundnut,Tamil Nadu,Villupuram,Villupuram,86.2,86.2,86.2,10/15/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,55.24,73.86,64.55,10/9/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,58.48,68.73,62.48,10/9/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,75.86,88.99,82.43,10/1/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,55.23,62.73,59,10/1/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,44.61,67.83,56.22,12/9/2019
Groundnut,Tamil Nadu,Villupuram,Villupuram,62.24,71.83,67.86,12/9/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,86.23,103.36,98.73,9/30/2019
Groundnut,Tamil Nadu,Vellore,Vellore,73.33,98.9,95,10/10/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,75.86,108.86,92.36,10/16/2019
Groundnut,Tamil Nadu,Vellore,Vellore,76.26,101.56,101,10/16/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,59.98,66.5,61.48,10/16/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,52.16,75.36,69.75,11/13/2019
Groundnut,Tamil Nadu,Villupuram,Thirukovilur,52.5,85.11,68.81,10/30/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,40.23,58.88,42.83,10/30/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,72.98,89.11,86.15,10/21/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,75.08,87.41,81.25,10/21/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,68.29,80.24,78.12,10/9/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,74.99,95.36,85.18,10/9/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,53.86,73.99,63.28,12/26/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,40.11,71.22,68.25,12/26/2019
Groundnut,Tamil Nadu,Villupuram,Ulundurpettai,68.49,72.5,70.8,12/26/2019
Groundnut,Tamil Nadu,Villupuram,Villupuram,63.61,63.61,63.61,12/26/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,54.61,83.61,74.23,10/29/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,70.88,75.86,73.42,10/29/2019
Groundnut,Tamil Nadu,Villupuram,Villupuram,61.13,71.13,66.13,11/15/2019
Groundnut,Tamil Nadu,Villupuram,Gingee,59.03,70.83,68.13,11/21/2019
Groundnut,Tamil Nadu,Coimbatore,Sevur,55,58.5,56,11/21/2019
Groundnut,Tamil Nadu,Cuddalore,Shrimushnam,63.61,71.28,69.16,11/21/2019
Groundnut,Tamil Nadu,Villupuram,Villupuram,62.58,69.11,65.49,11/6/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,81.31,97.38,87.38,10/14/2019
Groundnut,Tamil Nadu,Villupuram,Vikkiravandi,58.8,64.73,61.1,10/14/2019
Groundnut,Tamil Nadu,Erode,Boothapadi,59.16,64.19,62.86,10/16/2019
Groundnut,Tamil Nadu,Thiruvannamalai,Cheyyar,74,86.25,83.76,10/16/2019
Groundnut,Tamil Nadu,Villupuram,Kallakurichi,56.36,83.74,70.05,10/16/2019
Groundnut,Tamil Nadu,Villupuram,Tindivanam,83.36,93.98,92.48,10/16/2019
Groundnut,Tamil Nadu,Villupuram,Avalurpet,66.11,88.73,87.38,10/3/2019
